NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022
22,George Ezra,Staying at Tamara's,Don't Matter Now,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,-,-,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,Don't Matter Now,-,-,Don't Matter Now,Don't Matter Now,-,Don't Matter Now,-,-,Don't Matter Now,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,George Ezra,Wanted On Voyage,Breakaway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Breakaway,Breakaway,Breakaway,Breakaway,Breakaway,Breakaway,Breakaway,-,Breakaway,-,-,-,-,-,-,-,-,-,-,-
31,George Ezra,Wanted On Voyage,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,-,-,Budapest,-,-,-,-,-,Budapest,-,-,-,-,-,Budapest,Budapest,Budapest,-,-,-,-,Budapest,-,-,Budapest,-,-,-,-,-,-,-,Budapest,-,-,-,-,-,Budapest,-,-,-,-,-,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,Budapest,-,Budapest,-,-,-,-,-,-,-,-,-,-,-,-,Budapest,-,-,-
8,George Ezra,Staying at Tamara's,Pretty Shining People,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pretty Shining People,Pretty Shining People,Pretty Shining People,Pretty Shining People,-,Pretty Shining People,-,Pretty Shining People,Pretty Shining People,-,-,-,-,-,-,-,-,-,-,-,Pretty Shining People,-
13,George Ezra,Wanted On Voyage,Listen to the Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Listen to the Man,Listen to the Man,Listen to the Man,Listen to the Man,Listen to the Man,Listen to the Man,Listen to the Man,Listen to the Man,-,Listen to the Man,Listen to the Man,Listen to the Man,-,-,-,-,-,-,Listen to the Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Listen to the Man,-,-
8,George Ezra,Staying at Tamara's,Hold My Girl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hold My Girl,Hold My Girl,Hold My Girl,Hold My Girl,Hold My Girl,Hold My Girl,Hold My Girl,Hold My Girl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,George Ezra,Wanted On Voyage,Da Vinci Riot Police,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Da Vinci Riot Police,Da Vinci Riot Police,Da Vinci Riot Police,Da Vinci Riot Police,-,Da Vinci Riot Police,-,-,Da Vinci Riot Police,-,-,-,-,-,-,-,-,-,-,-,-,-
6,George Ezra,Staying at Tamara's,Shotgun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shotgun,Shotgun,Shotgun,Shotgun,-,-,-,-,-,-,Shotgun,-,-,-,-,-,-,-,-,-,Shotgun,-
5,George Ezra,Staying at Tamara's,The Beautiful Dream,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Beautiful Dream,The Beautiful Dream,The Beautiful Dream,The Beautiful Dream,-,-,The Beautiful Dream,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,George Ezra,Staying at Tamara's,Saviour (feat. First Aid Kit),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saviour (feat. First Aid Kit),Saviour (feat. First Aid Kit),-,-,Saviour (feat. First Aid Kit),-,-,-,-,Saviour (feat. First Aid Kit),Saviour (feat. First Aid Kit),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,George Ezra,Wanted On Voyage,Did You Hear the Rain?,Did You Hear the Rain?,Did You Hear the Rain?,-,-,-,-,Did You Hear the Rain?,Did You Hear the Rain?,Did You Hear the Rain?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Did You Hear the Rain?,-,-,-,-,Did You Hear the Rain?,-,Did You Hear the Rain?,-,-,-,Did You Hear the Rain?,-,-,-,-,-,Did You Hear the Rain?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Did You Hear the Rain?,Did You Hear the Rain?,Did You Hear the Rain?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,George Thorogood & The Destroyers,Bad to the Bone,Bad to the Bone (Remastered),-,-,-,-,-,-,-,-,-,-,Bad to the Bone (Remastered),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bad to the Bone (Remastered),-,-,-,-
17,Glass Animals,How to Be a Human Being,Youth [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],-,Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],Youth [2],-,Youth [2],Youth [2],-,-,-,-,-
16,Glass Animals,Dreamland,Heat Waves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,-,Heat Waves,Heat Waves,-,Heat Waves,-,-,-,-,-,-
11,Glass Animals,How to Be a Human Being,Agnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Agnes,Agnes,Agnes,Agnes,Agnes,-,Agnes,-,Agnes,-,Agnes,Agnes,-,-,Agnes,Agnes,-,-,-,-,-,-
7,Glass Animals,Dreamland,Waterfalls Coming Out Your Mouth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Waterfalls Coming Out Your Mouth,Waterfalls Coming Out Your Mouth,Waterfalls Coming Out Your Mouth,Waterfalls Coming Out Your Mouth,Waterfalls Coming Out Your Mouth,-,-,Waterfalls Coming Out Your Mouth,-,-,Waterfalls Coming Out Your Mouth,-,-,-
7,Glass Animals,How to Be a Human Being,Cane Shuga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cane Shuga,Cane Shuga,Cane Shuga,-,Cane Shuga,Cane Shuga,-,-,-,-,Cane Shuga,-,Cane Shuga,-,-,-,-,-
7,Glass Animals,Dreamland,It’s All So Incredibly Loud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,It’s All So Incredibly Loud,-,It’s All So Incredibly Loud,It’s All So Incredibly Loud,It’s All So Incredibly Loud,It’s All So Incredibly Loud,-,-,It’s All So Incredibly Loud,-,-,It’s All So Incredibly Loud,-,-,-,-,-,-
4,gnash,if,superlit (feat. Imad Royal),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,superlit (feat. Imad Royal),superlit (feat. Imad Royal),superlit (feat. Imad Royal),-,-,superlit (feat. Imad Royal),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gorilla Zoe,Don't Feed Da Animals,Echo [2],Echo [2],Echo [2],Echo [2],Echo [2],Echo [2],-,-,-,Echo [2],-,-,-,-,-,-,-,-,-,Echo [2],Echo [2],Echo [2],-,-,-,-,-,-,Echo [2],-,-,-,-,-,-,-,-,-,-,Echo [2],Echo [2],Echo [2],-,Echo [2],Echo [2],-,Echo [2],-,-,Echo [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Echo [2],-,-,-,-,-,-,-,-,-,-,-,-,-
3,Gorrilaz,Plastic Beach,Stylo (feat. Mos Def & Bobby Womack),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stylo (feat. Mos Def & Bobby Womack),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stylo (feat. Mos Def & Bobby Womack),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stylo (feat. Mos Def & Bobby Womack),-,-,-,-,-,-
5,Gotye,Making Mirrors,Somebody That I Used to Know (feat. Kimbra),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Somebody That I Used to Know (feat. Kimbra),Somebody That I Used to Know (feat. Kimbra),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Somebody That I Used to Know (feat. Kimbra),Somebody That I Used to Know (feat. Kimbra),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Somebody That I Used to Know (feat. Kimbra),-,-,-,-,-,-,-,-,-
2,Gotye,Making Mirrors,Smoke and Mirrors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Smoke and Mirrors,Smoke and Mirrors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Green Day,21st Century Breakdown,21 Guns,-,-,-,-,21 Guns,21 Guns,21 Guns,21 Guns,-,-,-,-,-,-,-,-,-,21 Guns,21 Guns,21 Guns,21 Guns,-,-,-,-,-,-,-,-,21 Guns,-,-,-,-,-,-,-,-,21 Guns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 Guns,21 Guns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 Guns,21 Guns,21 Guns,-,-,-,-,-,-,-,-,-
13,Green Day,Holiday - Single,Holiday (Faded Ending),-,-,Holiday (Faded Ending),Holiday (Faded Ending),-,Holiday (Faded Ending),-,Holiday (Faded Ending),-,-,-,-,-,Holiday (Faded Ending),Holiday (Faded Ending),Holiday (Faded Ending),Holiday (Faded Ending),-,Holiday (Faded Ending),-,-,-,-,-,-,-,-,-,-,-,Holiday (Faded Ending),-,-,-,-,-,-,-,-,-,-,-,-,-,Holiday (Faded Ending),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Holiday (Faded Ending),Holiday (Faded Ending),-,-,-,-,-,-,-,-,-,-,-
8,Green Day,American Idiot,Wake Me Up When September Ends,-,-,-,-,-,-,Wake Me Up When September Ends,-,-,Wake Me Up When September Ends,-,-,-,-,-,Wake Me Up When September Ends,-,-,Wake Me Up When September Ends,-,-,-,-,-,Wake Me Up When September Ends,-,-,-,-,-,-,-,-,-,-,-,Wake Me Up When September Ends,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wake Me Up When September Ends,-,-,-,-,-,-,-,Wake Me Up When September Ends,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Green Day,¡Dos!,Stray Heart,-,-,-,-,-,-,Stray Heart,-,-,-,-,Stray Heart,-,-,-,-,-,-,Stray Heart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stray Heart,Stray Heart,-,-,-,-,-,-,-,-,-,-,-,-
5,Gwen Stefani,Love. Angel. Music. Baby.,Rich Girl (feat. Eve),-,-,-,-,-,-,-,-,Rich Girl (feat. Eve),Rich Girl (feat. Eve),-,-,-,Rich Girl (feat. Eve),-,-,-,-,-,Rich Girl (feat. Eve),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rich Girl (feat. Eve),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Gwen Stefani,The Sweet Escape,The Sweet Escape (feat. Akon),-,-,-,-,-,-,-,The Sweet Escape (feat. Akon),The Sweet Escape (feat. Akon),The Sweet Escape (feat. Akon),-,-,-,-,-,-,-,-,The Sweet Escape (feat. Akon),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Gym Class Heroes,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),-,-,-,-,-,-,-,-,-,-,-,-,-,Stereo Hearts (feat. Adam Levine),-,-,-,-,-,-,-,-,-,-,Stereo Hearts (feat. Adam Levine),-,-,-,-,-,-,-,-,-,-,-,-,Stereo Hearts (feat. Adam Levine),Stereo Hearts (feat. Adam Levine),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Gym Class Heroes,As Cruel As School Children,Cupid's Chokehold / Breakfast in America (Radio Mix) [feat. Patrick Stump],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cupid's Chokehold / Breakfast in America (Radio Mix) [feat. Patrick Stump],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,half•alive,"Now, Not Yet",still feel.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,still feel.,still feel.,still feel.,still feel.,still feel.,still feel.,still feel.,still feel.,still feel.,still feel.,still feel.,-,still feel.,still feel.,-,-,still feel.,-,-,-,-,-,-,-,-,-
6,Halsey,"If I Can’t Have Love, I Want Power",Darling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Darling,Darling,Darling,Darling,Darling,Darling,-
18,Halsey,hopeless fountain kingdom,Strangers (feat. Lauren Jauregui),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),Strangers (feat. Lauren Jauregui),-,-,Strangers (feat. Lauren Jauregui),-,Strangers (feat. Lauren Jauregui),-,-,-,Strangers (feat. Lauren Jauregui),-,-,-
8,Halsey,"If I Can’t Have Love, I Want Power",Bells in Santa Fe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bells in Santa Fe,Bells in Santa Fe,Bells in Santa Fe,Bells in Santa Fe,-,Bells in Santa Fe,-,Bells in Santa Fe,Bells in Santa Fe,-,Bells in Santa Fe,-
